Season,FG,FGA,3P,3PA,FT,FTA,PTS,FG%,3P%,FT%,Pace,ORtg
2022-23,41.7,88.2,12.3,34.2,18.5,23.7,114.2,.473,.360,.780,99.3,114.2
2021-22,40.6,88.1,12.4,35.2,16.9,21.9,110.6,.461,.354,.775,98.2,112.0
2020-21,41.2,88.4,12.7,34.6,17.0,21.8,112.1,.466,.367,.778,99.2,112.3
2019-20,40.9,88.8,12.2,34.1,17.9,23.1,111.8,.460,.358,.773,100.3,110.6
2018-19,41.1,89.2,11.4,32.0,17.7,23.1,111.2,.461,.355,.766,100.0,110.4
2017-18,39.6,86.1,10.5,29.0,16.6,21.7,106.3,.460,.362,.767,97.3,108.6
2016-17,39.0,85.4,9.7,27.0,17.8,23.1,105.6,.457,.358,.772,96.4,108.8
2015-16,38.2,84.6,8.5,24.1,17.7,23.4,102.7,.452,.354,.757,95.8,106.4
2014-15,37.5,83.6,7.8,22.4,17.1,22.8,100.0,.449,.350,.750,93.9,105.6
2013-14,37.7,83.0,7.7,21.5,17.8,23.6,101.0,.454,.360,.756,93.9,106.6
2012-13,37.1,82.0,7.2,20.0,16.7,22.2,98.1,.453,.359,.753,92.0,105.8
2011-12,36.5,81.4,6.4,18.4,16.9,22.5,96.3,.448,.349,.752,91.3,104.6
2010-11,37.2,81.2,6.5,18.0,18.6,24.4,99.6,.459,.358,.763,92.1,107.3
2009-10,37.7,81.7,6.4,18.1,18.6,24.5,100.4,.461,.355,.759,92.7,107.6
2008-09,37.1,80.9,6.6,18.1,19.1,24.7,100.0,.459,.367,.771,91.7,108.3
2007-08,37.3,81.5,6.6,18.1,18.8,24.9,99.9,.457,.362,.755,92.4,107.5
2006-07,36.5,79.7,6.1,16.9,19.6,26.1,98.7,.458,.358,.752,91.9,106.5
2005-06,35.8,79.0,5.7,16.0,19.6,26.3,97.0,.454,.358,.745,90.5,106.2
2004-05,35.9,80.3,5.6,15.8,19.7,26.1,97.2,.447,.356,.756,90.9,106.1
2003-04,35.0,79.8,5.2,14.9,18.2,24.2,93.4,.439,.347,.752,90.1,102.9
