Date,Quarter,Top,Left,Result,Player,Distance (ft),ShotType
Oct 18,1,102,9,make,Jayson Tatum,24.0,3-pointer
Oct 18,1,48,238,make,Jayson Tatum,0.0,2-pointer
Oct 18,1,271,101,miss,Jayson Tatum,26.0,3-pointer
Oct 18,2,213,96,miss,Jayson Tatum,22.0,2-pointer
Oct 18,2,158,213,make,Jayson Tatum,11.0,2-pointer
Oct 18,2,263,87,miss,Jayson Tatum,26.0,3-pointer
Oct 18,2,249,403,miss,Jayson Tatum,26.0,3-pointer
Oct 18,2,61,237,make,Jayson Tatum,1.0,2-pointer
Oct 18,2,58,237,make,Jayson Tatum,1.0,2-pointer
Oct 18,3,120,258,miss,Jayson Tatum,7.0,2-pointer
Oct 18,3,74,116,make,Jayson Tatum,13.0,2-pointer
Oct 18,3,184,367,make,Jayson Tatum,18.0,2-pointer
Oct 18,3,84,249,make,Jayson Tatum,3.0,2-pointer
Oct 18,3,115,75,make,Jayson Tatum,18.0,2-pointer
Oct 18,3,79,247,make,Jayson Tatum,3.0,2-pointer
Oct 18,3,295,343,make,Jayson Tatum,26.0,3-pointer
Oct 18,3,174,103,make,Jayson Tatum,18.0,2-pointer
Oct 18,3,123,3,miss,Jayson Tatum,25.0,3-pointer
Oct 18,4,233,411,miss,Jayson Tatum,25.0,3-pointer
Oct 18,4,77,257,make,Jayson Tatum,3.0,2-pointer
Oct 21,1,71,222,miss,Jayson Tatum,3.0,2-pointer
Oct 21,1,263,76,miss,Jayson Tatum,27.0,3-pointer
Oct 21,1,64,232,make,Jayson Tatum,1.0,2-pointer
Oct 21,1,294,345,miss,Jayson Tatum,26.0,3-pointer
Oct 21,2,61,261,miss,Jayson Tatum,2.0,2-pointer
Oct 21,2,314,243,make,Jayson Tatum,26.0,3-pointer
Oct 21,2,216,49,miss,Jayson Tatum,25.0,3-pointer
Oct 21,2,66,213,make,Jayson Tatum,3.0,2-pointer
Oct 21,2,62,242,make,Jayson Tatum,1.0,2-pointer
Oct 21,2,93,57,miss,Jayson Tatum,19.0,2-pointer
Oct 21,3,158,189,miss,Jayson Tatum,12.0,2-pointer
Oct 21,3,66,223,make,Jayson Tatum,2.0,2-pointer
Oct 21,3,88,273,make,Jayson Tatum,5.0,2-pointer
Oct 21,3,275,92,make,Jayson Tatum,27.0,3-pointer
Oct 21,3,53,469,miss,Jayson Tatum,23.0,3-pointer
Oct 21,3,62,258,make,Jayson Tatum,2.0,2-pointer
Oct 21,3,304,168,miss,Jayson Tatum,26.0,3-pointer
Oct 21,4,163,178,miss,Jayson Tatum,13.0,2-pointer
Oct 21,4,74,231,miss,Jayson Tatum,2.0,2-pointer
Oct 21,4,63,237,make,Jayson Tatum,1.0,2-pointer
Oct 21,4,84,233,make,Jayson Tatum,3.0,2-pointer
Oct 21,4,100,240,miss,Jayson Tatum,5.0,2-pointer
Oct 22,1,263,237,make,Jayson Tatum,21.0,2-pointer
Oct 22,1,171,468,miss,Jayson Tatum,26.0,3-pointer
Oct 22,1,59,242,make,Jayson Tatum,1.0,2-pointer
Oct 22,1,184,31,make,Jayson Tatum,25.0,3-pointer
Oct 22,1,61,258,make,Jayson Tatum,2.0,2-pointer
Oct 22,1,273,368,make,Jayson Tatum,26.0,3-pointer
Oct 22,1,72,229,make,Jayson Tatum,2.0,2-pointer
Oct 22,1,298,294,miss,Jayson Tatum,25.0,3-pointer
Oct 22,2,287,119,make,Jayson Tatum,26.0,3-pointer
Oct 22,2,173,233,make,Jayson Tatum,12.0,2-pointer
Oct 22,3,97,154,make,Jayson Tatum,10.0,2-pointer
Oct 22,3,67,192,make,Jayson Tatum,5.0,2-pointer
Oct 22,3,64,228,make,Jayson Tatum,2.0,2-pointer
Oct 22,3,54,231,make,Jayson Tatum,1.0,2-pointer
Oct 22,3,80,249,miss,Jayson Tatum,3.0,2-pointer
Oct 22,3,299,187,miss,Jayson Tatum,25.0,3-pointer
Oct 22,3,311,267,miss,Jayson Tatum,26.0,3-pointer
Oct 22,4,298,137,miss,Jayson Tatum,27.0,3-pointer
Oct 22,4,297,161,miss,Jayson Tatum,26.0,3-pointer
Oct 22,4,157,293,make,Jayson Tatum,12.0,2-pointer
Oct 22,4,308,285,make,Jayson Tatum,26.0,3-pointer
Oct 24,1,75,258,make,Jayson Tatum,3.0,2-pointer
Oct 24,1,64,243,make,Jayson Tatum,1.0,2-pointer
Oct 24,1,130,380,miss,Jayson Tatum,16.0,2-pointer
Oct 24,1,64,250,make,Jayson Tatum,2.0,2-pointer
Oct 24,1,266,357,make,Jayson Tatum,24.0,3-pointer
Oct 24,1,261,98,make,Jayson Tatum,25.0,3-pointer
Oct 24,2,287,351,miss,Jayson Tatum,26.0,3-pointer
Oct 24,2,56,70,miss,Jayson Tatum,17.0,2-pointer
Oct 24,2,318,268,miss,Jayson Tatum,27.0,3-pointer
Oct 24,2,61,248,miss,Jayson Tatum,1.0,2-pointer
Oct 24,2,141,472,miss,Jayson Tatum,25.0,3-pointer
Oct 24,3,74,232,miss,Jayson Tatum,2.0,2-pointer
Oct 24,3,300,334,make,Jayson Tatum,26.0,3-pointer
Oct 24,3,105,288,miss,Jayson Tatum,7.0,2-pointer
Oct 24,3,321,254,make,Jayson Tatum,27.0,3-pointer
Oct 24,4,264,363,miss,Jayson Tatum,24.0,3-pointer
Oct 24,4,77,240,make,Jayson Tatum,2.0,2-pointer
Oct 24,4,74,242,miss,Jayson Tatum,2.0,2-pointer
Oct 28,1,117,44,make,Jayson Tatum,21.0,2-pointer
Oct 28,1,58,215,make,Jayson Tatum,3.0,2-pointer
Oct 28,1,273,374,miss,Jayson Tatum,26.0,3-pointer
Oct 28,1,231,417,make,Jayson Tatum,25.0,3-pointer
Oct 28,2,316,281,miss,Jayson Tatum,27.0,3-pointer
Oct 28,2,69,233,make,Jayson Tatum,2.0,2-pointer
Oct 28,2,63,258,make,Jayson Tatum,2.0,2-pointer
Oct 28,2,82,473,make,Jayson Tatum,24.0,3-pointer
Oct 28,2,285,142,make,Jayson Tatum,25.0,3-pointer
Oct 28,3,82,253,make,Jayson Tatum,3.0,2-pointer
Oct 28,3,220,333,make,Jayson Tatum,19.0,2-pointer
Oct 28,3,87,268,miss,Jayson Tatum,4.0,2-pointer
Oct 28,3,86,72,miss,Jayson Tatum,17.0,2-pointer
Oct 28,3,72,214,make,Jayson Tatum,3.0,2-pointer
Oct 28,4,300,340,miss,Jayson Tatum,27.0,3-pointer
Oct 28,4,146,268,miss,Jayson Tatum,10.0,2-pointer
Oct 28,4,177,384,miss,Jayson Tatum,19.0,2-pointer
Oct 28,1,90,238,make,Jayson Tatum,4.0,2-pointer
Oct 28,1,298,117,miss,Jayson Tatum,27.0,3-pointer
Oct 30,1,276,345,make,Jayson Tatum,25.0,3-pointer
Oct 30,1,273,115,make,Jayson Tatum,25.0,3-pointer
Oct 30,1,82,7,make,Jayson Tatum,23.0,3-pointer
Oct 30,1,243,393,miss,Jayson Tatum,24.0,3-pointer
Oct 30,1,63,273,make,Jayson Tatum,3.0,2-pointer
Oct 30,1,272,379,miss,Jayson Tatum,26.0,3-pointer
Oct 30,2,252,80,miss,Jayson Tatum,26.0,3-pointer
Oct 30,2,71,302,miss,Jayson Tatum,6.0,2-pointer
Oct 30,2,58,226,make,Jayson Tatum,2.0,2-pointer
Oct 30,2,299,161,make,Jayson Tatum,26.0,3-pointer
Oct 30,2,310,254,miss,Jayson Tatum,26.0,3-pointer
Oct 30,2,262,70,miss,Jayson Tatum,27.0,3-pointer
Oct 30,3,293,113,make,Jayson Tatum,27.0,3-pointer
Oct 30,3,92,303,miss,Jayson Tatum,7.0,2-pointer
Oct 30,4,88,212,make,Jayson Tatum,5.0,2-pointer
Nov 2,1,108,316,miss,Jayson Tatum,9.0,2-pointer
Nov 2,1,197,19,miss,Jayson Tatum,26.0,3-pointer
Nov 2,1,70,228,miss,Jayson Tatum,2.0,2-pointer
Nov 2,2,92,202,miss,Jayson Tatum,5.0,2-pointer
Nov 2,2,53,240,make,Jayson Tatum,0.0,2-pointer
Nov 2,2,298,165,miss,Jayson Tatum,26.0,3-pointer
Nov 2,2,297,363,make,Jayson Tatum,27.0,3-pointer
Nov 2,2,77,232,make,Jayson Tatum,3.0,2-pointer
Nov 2,2,180,467,miss,Jayson Tatum,26.0,3-pointer
Nov 2,3,104,363,miss,Jayson Tatum,13.0,2-pointer
Nov 2,3,53,240,miss,Jayson Tatum,0.0,2-pointer
Nov 2,3,315,152,miss,Jayson Tatum,28.0,3-pointer
Nov 2,3,238,433,make,Jayson Tatum,27.0,3-pointer
Nov 2,3,240,430,miss,Jayson Tatum,27.0,3-pointer
Nov 2,4,216,247,make,Jayson Tatum,16.0,2-pointer
Nov 2,4,64,244,make,Jayson Tatum,1.0,2-pointer
Nov 2,4,68,234,make,Jayson Tatum,2.0,2-pointer
Nov 2,1,315,211,miss,Jayson Tatum,26.0,3-pointer
Nov 2,1,69,138,miss,Jayson Tatum,10.0,2-pointer
Nov 2,1,256,38,miss,Jayson Tatum,29.0,3-pointer
Nov 2,1,53,247,make,Jayson Tatum,1.0,2-pointer
Nov 4,1,79,246,make,Jayson Tatum,3.0,2-pointer
Nov 4,1,93,140,miss,Jayson Tatum,11.0,2-pointer
Nov 4,1,103,382,miss,Jayson Tatum,15.0,2-pointer
Nov 4,1,80,252,make,Jayson Tatum,3.0,2-pointer
Nov 4,1,126,473,make,Jayson Tatum,24.0,3-pointer
Nov 4,1,123,280,miss,Jayson Tatum,8.0,2-pointer
Nov 4,1,261,374,miss,Jayson Tatum,25.0,3-pointer
Nov 4,2,303,123,miss,Jayson Tatum,28.0,3-pointer
Nov 4,2,267,72,make,Jayson Tatum,27.0,3-pointer
Nov 4,2,75,214,miss,Jayson Tatum,3.0,2-pointer
Nov 4,2,323,278,miss,Jayson Tatum,27.0,3-pointer
Nov 4,2,141,280,miss,Jayson Tatum,10.0,2-pointer
Nov 4,2,89,261,miss,Jayson Tatum,4.0,2-pointer
Nov 4,3,67,273,make,Jayson Tatum,4.0,2-pointer
Nov 4,3,340,150,miss,Jayson Tatum,30.0,3-pointer
Nov 4,3,110,9,miss,Jayson Tatum,24.0,3-pointer
Nov 4,4,82,318,make,Jayson Tatum,8.0,2-pointer
Nov 4,4,303,283,miss,Jayson Tatum,25.0,3-pointer
Nov 4,4,302,192,miss,Jayson Tatum,25.0,3-pointer
Nov 4,4,184,177,miss,Jayson Tatum,15.0,2-pointer
